Video_File,Audio_File,Duration,Transcript,translated_transcript,Summary
@bordsanka_video_7136226794797010182.mp4,@bordsanka_video_7136226794797010182.mp3,15.68, İgulions Fi eye,İgulions Fi eye,"This transcript ""İgulions Fi eye"" likely represents a typo or gibberish and doesn't offer any discernible meaning. Therefore, it cannot be summarized in terms of visuals, addictive behavior, ONP use, humor, or sentiment. It's likely a misheard lyric, a random string of characters, or a corrupted text."
@polletestar_video_7191869004594695430.mp4,@polletestar_video_7191869004594695430.mp3,107.76," De ser väl så sitta på den här stulen. Men det ser vi att vi har bara vettkontvakt nytt av politiska åken. Här har vi vettat på. Detta är nära nu. Ta fram popkonen. För här har vi Frist en stor obryr. Vi har en tre minsket höra nu. Vi har en eisk korn. Vi har rift Frist och vi har ett annorret Max Storm. Max Frist, Max Frist, att den stäger fel. De borde huga min tunja. Stiksprickar. Och vi har väntat ju. Jag har väntat var det där. Jag återkommer tillbaka in på titta. Varför blev jag denna biten var? Jag ser att det här var. Har fram den? Så skålar vi. Skålar hemma. Mmm. Oh my god. Det ser jag så här var. Lyssna nya. Det finns inget bättre fris av en. Och det är Max Frist. Det är det nya. Det är det nya. Jag ser att jag gillar min snutsa. Är denna snusen fördaiva. Det är som en honad med mental under läppen. Det är något. Det är snurra. Varför inte ett var. Varför? Hur många var vill ha det? Som var en gång en snurra och en omill. Hänga med. Jag ser oss här. Kalmågonda. Varför sommar det? Den här kommer alltid finnas vid din sida. Den titta så att denna kommer vara utrogan. Då lämnar det vid en sida. Så någon brud var. Hänga med. Risen är alltid vid din sida. Speciellt fris en stor brud. Max Frist. Du månladd, Karadimumman. Vad är det? Nia 10 polem. Dira minnsnus. Då bättre smaken fris än. Jag gillar minnsmaken. Man har du spyg av den liksom. Oop. Nikotin. Det var prickare över eget med 17 mg Nikotin. Tröder van. Krobar den. Om ett olop krobat så har du gott över 6 neds. Sagen och hej.","They look well so sit on this stolen.But we see that we only have the newspaper with political rides.Here we have sensed.This is close now.Make the pop cone.Because here we have a large unbroken.We have a three decrease now.We have an Eian barley.We have a Rift deadline and we have a Annorret Max Storm.Maximum deadline, maximum deadline, that it is wrong.They should hug my tunja.Stike cracks.And we have been waiting.I've been waiting for that.I will return back to look.Why did I get this bit?I see that this was.Has it out?So we bowl.Bowls at home.Mmm.Oh my good.I see that this was.Listen new ones.There is no better frieze by one.And it's maximum deadline.That's the new one.That's the new one.I see that I like my cops.Is this snuff fordaiva.It's like a female with mental under the lip.That's something.It's spin.Why not one was.Why?How many were want it?Which was once a spin and one omill.Join us.I see us here.Kalmåda.Why is it summer?This one will always be by your side.The look so this will be the excroble.Then it leaves at one side.So any bride was.Join us.The rice is always by your side.Especially free a big bride.Maximum deadline.You Monknad, Karadimman.What is it?Nia 10 polem.Dira memory snus.Then better taste is free yet.I like the memory taste.You have a spin of it as well.Oop.Nicotine.It was a dot over their own with 17 mg of nicotine.Töder van.Crobar it.If an Olop Krobat you have good over 6 downs.The saga and hello.","The video shows someone reviewing different brands of snus (Swedish oral tobacco), focusing on flavors and nicotine strength.  The reviewer seems enthusiastic, perhaps hinting at addictive tendencies,  and uses some nonsensical and possibly humorous language (""Maximum deadline,"" ""Monknad, Karadimman""). The video centers on the use of ONPs (oral nicotine pouches/products)."
@smilmedos_video_7215202347130064133.mp4,@smilmedos_video_7215202347130064133.mp3,22.5," Tartus Nus så ser med her, når man tager snus så kan tanken købe og se kære og trækte tilbage, vil gøre betyder at mere af din tænner bliver synelige. Når tænnerne først er blevet mere synelige, så er der altid ikke noget at gå og selvom at du står på mere til snus. Tanken køde trækker sig ikke tilbage til der hvor de sidder for. Det har jeg blod en af piværkningerne, der kan skive ved at man tager snus, så hvis du har nogle spørgsmål så skriv en lige kommentarer og så svaret vi kunne det.","Tartus nus so watches here when you take snuff so the thought can buy and see dear and pull back, will make mean that more of your thinker becomes visible.Once the thoughts have become more visible, there is always nothing to go and even though you are on more for snuff.The thought cow does not withdraw to where they sit for.I have blood one of the pins that can slice by taking snuff, so if you have any questions then write a straight comments and then the answer we could.","The video demonstrates a method of taking snuff where pulling back on the lower eyelid supposedly makes the ""thinker"" (presumably the brain) more visible.  It suggests this makes taking more snuff pointless because the ""thought cow"" (unclear meaning) doesn't retreat.  The video creator also mentions a potential side effect of nosebleeds and offers to answer questions in the comments.  The transcript is poorly written, possibly suggesting humorous unintentional misinterpretations or a language barrier."
@danielnorlin_video_7247502832415345946.mp4,@danielnorlin_video_7247502832415345946.mp3,29.0," Eller jobb, press bryr och mer bara blöder. Du var pann hems. För då, men det var hems. De sa att de är så här, du ska göra såna här macka, du ska göra det. Du ska momma golvet. Jag bara, jag vet inte. Momma, jag vet inte. Momma golvet. Sen det är roliga vad kassa. Folk ska du köpa så nu så alls sånt. Så jag bara har du läget till maskion. Fast han var typ 60 år. Jag lägger honom fast han var 6 år gammal. Det var sjukaste jag gjort. Jag har inte blivit lägga på mer än 35 år. Varför är han så här? Det var fett kul. Vad vill du bra?","Or job, press cares and more just bleeds.You were a boiler home.Because then, but it was home.They said they are like this, you should do this like this, you should do it.You should take the floor.I just, I don't know.Momma, I don't know.Momma the floor.Then it's fun what cash.You should buy people so now at all.So I just have the situation for the mask.Although he was 60 years old.I put him even though he was 6 years old.It was the sickest thing I did.I have not been spent more than 35 years.Why is he like this?It was fat fun.What do you want good?","The video likely depicts someone rambling about work stress and potentially substance use (""boiler,"" ""floor,"" ""cash,"" ""mask"").  The speaker mentions doing something questionable involving a 6-year-old, suggesting possible problematic behavior.  The disjointed nature and mention of ""fat fun"" hint at intoxication and unreliable narration.  Overall, the video appears to portray a disturbed and possibly intoxicated individual."
@baccercanman_video_7177952869851729198.mp4,@baccercanman_video_7177952869851729198.mp3,0.0,,,No transcript available.
@prime47xxy_video_7135005591113731374.mp4,@prime47xxy_video_7135005591113731374.mp3,160.36," 1 szあ 3 sz 1 sz 1 sz 2 sz 1 sz 1 sz 1 sz 2 sz 1 sz 1 sz 4 sz 1 sz ... ... ... en semNONA Że между tu fabrica. Celal4 Testa p0f8 Yo ho!!!! Yle ho thl4 Whya dc2 BUS1 BUS1 R Write Eília E Brooklyn R2 R2 R2 G Resp Class I just wouldn't do it. My gums might just be weak. It's still good though, but I just left up my gum. I think they'll probably be okay. It'll be okay.","1 szあ 3 sz 1 sz 1 sz 2 sz 1 sz 1 sz 1 sz 2 sz 1 sz 1 sz 4 sz 1 sz ... ... ... en semNONA Że между tu fabrica. Celal4 Testa p0f8 Yo ho!!!! Yle ho thl4 Whya dc2 BUS1 BUS1 R Write Eília E Brooklyn R2 R2 R2 G Resp Class I just wouldn't do it. My gums might just be weak. It's still good though, but I just left up my gum. I think they'll probably be okay. It'll be okay.","The video appears to show someone chewing gum and then spitting it out, possibly repeatedly.  The transcript is largely gibberish, likely due to automated captions misinterpreting mumbled speech.  There's no clear indication of addictive behavior, ONP use, or intentional humor. The speaker expresses a mild concern about their gums."
@la.speciale_video_7240948936826031387.mp4,@la.speciale_video_7240948936826031387.mp3,6.0, What's happening? Hello To be the Zaw,What's happening? Hello To be the Zaw,"The video is a short greeting (""What's happening? Hello"") from someone named (or nicknamed) ""To be the Zaw.""  There is no discernible addictive behavior, ONP use, humor, or strong sentiment expressed. It's simply a brief hello."
@lukabojovic23_video_7196079713377357061.mp4,@lukabojovic23_video_7196079713377357061.mp3,7.6," Žućobre, kako si se popel o gore? Od sad nasim krovni pas. Sijedji dola, Žućob. Ne, čo da sijedji dola. Ne, čo da sijedji. Vediš, temam. Ok, možda sijedji.","Žućobre, how did you get up on the above?From now on, the roof dog.SIGHORY Dol, Žućob.No, man to have a gray dol.No, man to be gray.Vedish, theme.Ok, maybe gray.","A dog, nicknamed Žućobre (likely meaning Yellow-brow), is on the roof.  The speaker expresses mock concern and jokes about the dog's potential graying fur, perhaps due to stress from the rooftop adventure.  The video likely depicts a humorous situation with a dog in an unexpected place. There is no indication of addictive behavior or ONP use."
@tarmac_video_7171425763718106373.mp4,@tarmac_video_7171425763718106373.mp3,47.52," C'est le truc du moment, pourtant c'est pas s'en danger. Le Snuss est un peu partout dans les cours d'école, mais aussi dans les vestiaires de foot. Le joueur français Marcus Durham a été vu dans une story avec ce qui semble bien être une boîte de Snuss. En gros, deux bases se sont des petits sachets de tabas suces qui se calent entre l'agentive et la lèvres. Ça existe depuis longtemps et chez nous, comme partout dans l'Union européenne, c'est interdit à l'avante, sauf en suède, en orvège et en Suisse. Du coup, pour contourner l'interdiction, le Snuss est vendu sans tabas, mais bien avec l'anico-tin et qui dit nicotine dit forcément risque d'addiction, même sans tabas. Les tabacologues inquiets de voir que ce sont les kits qui sont visés avec des boîtes colorées et des goûts comme fraises ou pignacolada qui sont vendus sur les réseaux et dans certains ketchup. Et toi, tu connais le Snuss, tu savais que c'était mauvais pour la santé ?","This is the thing of the moment, however it is not dangerous.The SNUS is everywhere in school lessons, but also in the football changing rooms.French player Marcus Durham was seen in a story with what seems to be a box of SNUS.Basically, two bases are small sachets of Tabas Saces which are stalled between the agentive and the lips.It has existed for a long time and with us, as everywhere in the European Union, it is prohibited, except in Sweden, Orvege and Switzerland.Suddenly, to get around the ban, the SNUS is sold without Tabas, but with anico-tin and which says nicotine necessarily says risk of addiction, even without tabas.Tobaccoologists worried to see that it is the kits that are targeted with colored boxes and tastes like strawberries or pignacolada that are sold on networks and in certain ketchups.And you, you know the SNUS, you knew it was bad for health?","The TikTok video discusses the rising popularity of SNUS, a nicotine pouch similar to chewing tobacco, among youth, particularly in schools and sports.  While banned in most of the EU, SNUS is readily available without tobacco but still contains addictive nicotine.  The video highlights concerns about its marketing with colorful packaging and appealing flavors like strawberry and piña colada, targeting young people.  It also questions viewers' awareness of SNUS and its health risks."
@polletestar_video_7210117567501946117.mp4,@polletestar_video_7210117567501946117.mp3,61.0," Vagnen inte har så protestat och idag ser vi prova en iceberg Dragonfoot lite Flamingo vibes var lite somria, lite jobbulöket till Karibien var. Det är där vi är var med världsfrut är ju renget och obehagligt så ljå för oss. Oj, oj, oj, oj. Nu vet han inte hur Dragonfoot ska lukta men det är en vitt sötma i den här råd som är väldigt mjurka och trevliga lite som kuddat måste jag säga var. Skål, där hema. Så har vi sötma i den här råd, men det är inte ett övervåbil man det smakig som det är så det är wow här smakiga Dragonfoot. Det är ju en bra ljus smak som många av den andra vill stärka snusen har så att man ser det här väldigt gärdlig. Det är en åtta av tio pollas för 120 g som snabbt varje ramast uppe en en gång lite här vaget hade inte stårat var. Om ni vet hur vad den här slutar var i just det här såg in i min länk och så finns det där så det kan beställa användt tolle så för året lite rabast där var det kommer in några dagar bara. Har du gott att du ser såg det här och hej.","The wagon has not so protested and today we see a try an Iceberg Dragonfoot a little flamingo vibes was a bit Svommria, a little job moke for the Caribbean was.This is where we are with the world frut is the reindeer and uncomfortable so well for us.Oh, oh, oh, oh.Now he does not know how Dragonfoot should smell, but it is a white sweetness in this advice that is very murmur and nice a bit like cuddled I have to say where.Cheers, where Hema.So we have sweetness in this advice, but it is not an oversight you are the tasty as it is so it is wow here tasty dragonfoot.It is a good light taste that many of the other want to strengthen the snuff have so that you see this very good.It is an eight out of ten pollas for 120 g that quickly each ramast up once a little here the vague had not been standing.If you know what this ends where in this particular one looked into my link and then there is there so it can order used tolle so for the year a little rabast where it comes in a few days only.Do you have good that you see saw this and hello.","The video shows someone reviewing an ""Iceberg Dragonfoot"" candy.  The reviewer enjoys the candy's mild sweetness and ""white sweetness"" flavor, comparing it to a cuddle.  They give it an 8/10 rating and encourage viewers to purchase it via a link. Despite some incoherent phrasing, the overall sentiment is positive."
@rotarytok_video_7138406461352234286.mp4,@rotarytok_video_7138406461352234286.mp3,24.72, In a trumpet drum You don't know You and me from fishing in the dark I'm on our backs and counting the stars Where the blue grass grows Down by the river in the full moon Life will be falling in love And the middle of the night just moving slow,In a trumpet drum You don't know You and me from fishing in the dark I'm on our backs and counting the stars Where the blue grass grows Down by the river in the full moon Life will be falling in love And the middle of the night just moving slow,"The video likely features someone playing ""Fishing in the Dark"" on a trumpet drum, perhaps with a romantic, nostalgic vibe.  There's no clear indication of addictive behavior or ONP use.  The humor, if any, would likely derive from the unusual instrument choice or the performance itself. The overall sentiment is sentimental and romantic."
@fish_tok_video_7238106025818213675.mp4,@fish_tok_video_7238106025818213675.mp3,55.32," Alright, Joe Lake, is it true that... Alright, go watch Slicks video and then come back to this one. And so check these pouches out guys. These are juice head, 6 milligram. They're not tobacco pouches, they're like the zins, but they're big and fat and juicy, just like you guys want. So there's one in my hand. Pretty big. I usually fold them. You get 15 in a can. Not bad. Alternative to the zins. They don't give you a headache. Tobacco free. 6 milligram. They make a 12 milligram too. Others 20 pouches in a can. So... ZTN juice head pouches. Y'all check them out. They're a new company. They probably sponsor you the hell.","Alright, Joe Lake, is it true that... Alright, go watch Slicks video and then come back to this one. And so check these pouches out guys. These are juice head, 6 milligram. They're not tobacco pouches, they're like the zins, but they're big and fat and juicy, just like you guys want. So there's one in my hand. Pretty big. I usually fold them. You get 15 in a can. Not bad. Alternative to the zins. They don't give you a headache. Tobacco free. 6 milligram. They make a 12 milligram too. Others 20 pouches in a can. So... ZTN juice head pouches. Y'all check them out. They're a new company. They probably sponsor you the hell.","The video showcases Juice Head nicotine pouches, a tobacco-free alternative to Zyn, emphasizing their larger size and lack of headache side effects.  The creator highlights the 6mg and 12mg nicotine strengths and promotes them as ""big and fat and juicy.""  There's a suggestion of potential addictive behavior due to the focus on nicotine content and comparison to another popular nicotine pouch brand."
@itzbalkano_video_7242694036144819482.mp4,@itzbalkano_video_7242694036144819482.mp3,99.58," Folket, dagarna har kommit då Balcan och ska testa snus. Jag ska inte ju ju ggga, jag är bäst reda, kolla fall. Alla är inget till att jag gör det här, är för att jag ser de här svenska vikingarna i min skola. De tar en prilla, två, tre, fyra. Jag körde att det måste också testa. En väl och minig. Det sa vad jag litar med i kommentarerna, jag är blackt. Åh, vad da, väd! Åh, vilka lukt! Nej, det här var skat. Jag har varit i Big Branch än till jag. Förkicka igång. Åh, nej! Åh! Det är bra. Det är så bra. Aj, kus vi man! Jag är bra. Kolla. Aj, brun. Jag är bra. Aj! Ja! Tä�en? Jag Ta Polek i Tacór! Byndes! – Ochすごments cy흐, vilka värsta brルишar? Vaaders, Waiters? Straxena Debera, LIGT. Tänk mig för att ju inte necessarily umorna att monitora pancakes, ju när det skulle bli lut informationa,ellan än inte och nu på kolon, det skulle nog inte bal på musika,","The people, the days have come then Balcan and will test snuff.I'm not going to be good, I'm best ready, check out.Everyone is not for me to do this, is because I see these Swedish Vikings in my school.They take a prilla, two, three, four.I drove that it must also test.A good and minig.It said what I trust in the comments, I'm black.Oh, what then, weigh!Oh, what a smell!No, this was done.I've been to Big Branch than I.Pick up.Oh, no!Oh!That's good.It's so good.Oh, we can man!I'm good.Check.Aj, brown.I'm good.Ouch!Yes!Tä�en?I take Polek in Tacór!!- And すご Ment's cy 흐, what worst br и ишar?Vaaders, Waiters?Righting Debra, LigT.Imagine that, after all, Needsarily Umorna does not Monitora Pancakes, after all, when it would be lying to information, between not and now on the colon, it probably wouldn't be bal on music,","The video shows someone trying snus (oral tobacco) for the first time, seemingly influenced by others. They express strong reactions to the smell and sensation, both positive and negative, suggesting a potential for addiction.  The video's humorous element comes from their exaggerated expressions and exclamations. The rest of the transcript appears to be gibberish and unrelated."
@baccercanman_video_7182325223885114666.mp4,@baccercanman_video_7182325223885114666.mp3,22.58,iar,and,No transcript available.
