Video_File,Audio_File,Duration,Transcript
@bordsanka_video_7136226794797010182.mp4,@bordsanka_video_7136226794797010182.mp3,15.68, İgulions Fi eye
@polletestar_video_7191869004594695430.mp4,@polletestar_video_7191869004594695430.mp3,107.76," De ser väl så sitta på den här stulen. Men det ser vi att vi har bara vettkontvakt nytt av politiska åken. Här har vi vettat på. Detta är nära nu. Ta fram popkonen. För här har vi Frist en stor obryr. Vi har en tre minsket höra nu. Vi har en eisk korn. Vi har rift Frist och vi har ett annorret Max Storm. Max Frist, Max Frist, att den stäger fel. De borde huga min tunja. Stiksprickar. Och vi har väntat ju. Jag har väntat var det där. Jag återkommer tillbaka in på titta. Varför blev jag denna biten var? Jag ser att det här var. Har fram den? Så skålar vi. Skålar hemma. Mmm. Oh my god. Det ser jag så här var. Lyssna nya. Det finns inget bättre fris av en. Och det är Max Frist. Det är det nya. Det är det nya. Jag ser att jag gillar min snutsa. Är denna snusen fördaiva. Det är som en honad med mental under läppen. Det är något. Det är snurra. Varför inte ett var. Varför? Hur många var vill ha det? Som var en gång en snurra och en omill. Hänga med. Jag ser oss här. Kalmågonda. Varför sommar det? Den här kommer alltid finnas vid din sida. Den titta så att denna kommer vara utrogan. Då lämnar det vid en sida. Så någon brud var. Hänga med. Risen är alltid vid din sida. Speciellt fris en stor brud. Max Frist. Du månladd, Karadimumman. Vad är det? Nia 10 polem. Dira minnsnus. Då bättre smaken fris än. Jag gillar minnsmaken. Man har du spyg av den liksom. Oop. Nikotin. Det var prickare över eget med 17 mg Nikotin. Tröder van. Krobar den. Om ett olop krobat så har du gott över 6 neds. Sagen och hej."
@smilmedos_video_7215202347130064133.mp4,@smilmedos_video_7215202347130064133.mp3,22.5," Tartus Nus så ser med her, når man tager snus så kan tanken købe og se kære og trækte tilbage, vil gøre betyder at mere af din tænner bliver synelige. Når tænnerne først er blevet mere synelige, så er der altid ikke noget at gå og selvom at du står på mere til snus. Tanken køde trækker sig ikke tilbage til der hvor de sidder for. Det har jeg blod en af piværkningerne, der kan skive ved at man tager snus, så hvis du har nogle spørgsmål så skriv en lige kommentarer og så svaret vi kunne det."
@danielnorlin_video_7247502832415345946.mp4,@danielnorlin_video_7247502832415345946.mp3,29.0," Eller jobb, press bryr och mer bara blöder. Du var pann hems. För då, men det var hems. De sa att de är så här, du ska göra såna här macka, du ska göra det. Du ska momma golvet. Jag bara, jag vet inte. Momma, jag vet inte. Momma golvet. Sen det är roliga vad kassa. Folk ska du köpa så nu så alls sånt. Så jag bara har du läget till maskion. Fast han var typ 60 år. Jag lägger honom fast han var 6 år gammal. Det var sjukaste jag gjort. Jag har inte blivit lägga på mer än 35 år. Varför är han så här? Det var fett kul. Vad vill du bra?"
@baccercanman_video_7177952869851729198.mp4,@baccercanman_video_7177952869851729198.mp3,0.0,
@prime47xxy_video_7135005591113731374.mp4,@prime47xxy_video_7135005591113731374.mp3,160.36," 1 szあ 3 sz 1 sz 1 sz 2 sz 1 sz 1 sz 1 sz 2 sz 1 sz 1 sz 4 sz 1 sz ... ... ... en semNONA Że между tu fabrica. Celal4 Testa p0f8 Yo ho!!!! Yle ho thl4 Whya dc2 BUS1 BUS1 R Write Eília E Brooklyn R2 R2 R2 G Resp Class I just wouldn't do it. My gums might just be weak. It's still good though, but I just left up my gum. I think they'll probably be okay. It'll be okay."
@la.speciale_video_7240948936826031387.mp4,@la.speciale_video_7240948936826031387.mp3,6.0, What's happening? Hello To be the Zaw
@lukabojovic23_video_7196079713377357061.mp4,@lukabojovic23_video_7196079713377357061.mp3,7.6000000000000005," Žućobre, kako si se popel o gore? Od sad nasim krovni pas. Sijedji dola, Žućob. Ne, čo da sijedji dola. Ne, čo da sijedji. Vediš, temam. Ok, možda sijedji."
@tarmac_video_7171425763718106373.mp4,@tarmac_video_7171425763718106373.mp3,47.519999999999996," C'est le truc du moment, pourtant c'est pas s'en danger. Le Snuss est un peu partout dans les cours d'école, mais aussi dans les vestiaires de foot. Le joueur français Marcus Durham a été vu dans une story avec ce qui semble bien être une boîte de Snuss. En gros, deux bases se sont des petits sachets de tabas suces qui se calent entre l'agentive et la lèvres. Ça existe depuis longtemps et chez nous, comme partout dans l'Union européenne, c'est interdit à l'avante, sauf en suède, en orvège et en Suisse. Du coup, pour contourner l'interdiction, le Snuss est vendu sans tabas, mais bien avec l'anico-tin et qui dit nicotine dit forcément risque d'addiction, même sans tabas. Les tabacologues inquiets de voir que ce sont les kits qui sont visés avec des boîtes colorées et des goûts comme fraises ou pignacolada qui sont vendus sur les réseaux et dans certains ketchup. Et toi, tu connais le Snuss, tu savais que c'était mauvais pour la santé ?"
@polletestar_video_7210117567501946117.mp4,@polletestar_video_7210117567501946117.mp3,61.0," Vagnen inte har så protestat och idag ser vi prova en iceberg Dragonfoot lite Flamingo vibes var lite somria, lite jobbulöket till Karibien var. Det är där vi är var med världsfrut är ju renget och obehagligt så ljå för oss. Oj, oj, oj, oj. Nu vet han inte hur Dragonfoot ska lukta men det är en vitt sötma i den här råd som är väldigt mjurka och trevliga lite som kuddat måste jag säga var. Skål, där hema. Så har vi sötma i den här råd, men det är inte ett övervåbil man det smakig som det är så det är wow här smakiga Dragonfoot. Det är ju en bra ljus smak som många av den andra vill stärka snusen har så att man ser det här väldigt gärdlig. Det är en åtta av tio pollas för 120 g som snabbt varje ramast uppe en en gång lite här vaget hade inte stårat var. Om ni vet hur vad den här slutar var i just det här såg in i min länk och så finns det där så det kan beställa användt tolle så för året lite rabast där var det kommer in några dagar bara. Har du gott att du ser såg det här och hej."
@rotarytok_video_7138406461352234286.mp4,@rotarytok_video_7138406461352234286.mp3,24.72, In a trumpet drum You don't know You and me from fishing in the dark I'm on our backs and counting the stars Where the blue grass grows Down by the river in the full moon Life will be falling in love And the middle of the night just moving slow
@fish_tok_video_7238106025818213675.mp4,@fish_tok_video_7238106025818213675.mp3,55.32," Alright, Joe Lake, is it true that... Alright, go watch Slicks video and then come back to this one. And so check these pouches out guys. These are juice head, 6 milligram. They're not tobacco pouches, they're like the zins, but they're big and fat and juicy, just like you guys want. So there's one in my hand. Pretty big. I usually fold them. You get 15 in a can. Not bad. Alternative to the zins. They don't give you a headache. Tobacco free. 6 milligram. They make a 12 milligram too. Others 20 pouches in a can. So... ZTN juice head pouches. Y'all check them out. They're a new company. They probably sponsor you the hell."
@itzbalkano_video_7242694036144819482.mp4,@itzbalkano_video_7242694036144819482.mp3,99.58," Folket, dagarna har kommit då Balcan och ska testa snus. Jag ska inte ju ju ggga, jag är bäst reda, kolla fall. Alla är inget till att jag gör det här, är för att jag ser de här svenska vikingarna i min skola. De tar en prilla, två, tre, fyra. Jag körde att det måste också testa. En väl och minig. Det sa vad jag litar med i kommentarerna, jag är blackt. Åh, vad da, väd! Åh, vilka lukt! Nej, det här var skat. Jag har varit i Big Branch än till jag. Förkicka igång. Åh, nej! Åh! Det är bra. Det är så bra. Aj, kus vi man! Jag är bra. Kolla. Aj, brun. Jag är bra. Aj! Ja! Tä�en? Jag Ta Polek i Tacór! Byndes! – Ochすごments cy흐, vilka värsta brルишar? Vaaders, Waiters? Straxena Debera, LIGT. Tänk mig för att ju inte necessarily umorna att monitora pancakes, ju när det skulle bli lut informationa,ellan än inte och nu på kolon, det skulle nog inte bal på musika,"
@baccercanman_video_7182325223885114666.mp4,@baccercanman_video_7182325223885114666.mp3,22.580000000000002,iar
@zyngod69_video_7148129426637638954.mp4,@zyngod69_video_7148129426637638954.mp3,2.0, TH platform
@vgnett_video_7249461972129893659.mp4,@vgnett_video_7249461972129893659.mp3,26.0, Fant snus til 2 miljoner. Politie i Østfanten kontiner med store mengdesnus på så fin myr uten for Oslo sent søndag kveld. Politie vet ikke hvor snusen stamme fra. Men i ma i skrev vegomens snus leverandøer som fik fra stålet 27.000 boxen med snus. Nå undersøker politie om dette kan være snusende jeg funnet. Lese med via linken på profilen vår.
@bayerischerfreak_video_7255244422772772122.mp4,@bayerischerfreak_video_7255244422772772122.mp3,9.6," I got a few baddest up under my bed Oh bitch, I'm a big gangster Turn around with your foreign love Koka ain't no slang C'mon, hunt it up and just order a russ"
@un777ucky_video_7166373718187412778.mp4,@un777ucky_video_7166373718187412778.mp3,21.76," I was looking for my sunglasses earlier and I realized I had a spares in in there. Past Basie, put this in there when we had more bread so that broke current Basie could have a zin. It's the season of being thankful. So I'm thankful for my past self being able to hold out for future self."
@ggarbarino__video_7160372834215218475.mp4,@ggarbarino__video_7160372834215218475.mp3,9.0," How much wine can a wood truck have a wood truck could rip up or neckies in? He's upper neck he went, pillows, fruit, a fruit, a..."
@baccercanman_video_7176105124635446574.mp4,@baccercanman_video_7176105124635446574.mp3,0.0,
@adde.aa_video_7187804205699157253.mp4,@adde.aa_video_7187804205699157253.mp3,2.0, I love being a woman.
@idakarlssonnnn_video_7264482512284552480.mp4,@idakarlssonnnn_video_7264482512284552480.mp3,10.32," If you say what can make me feel this way Magnum, Magnum, Magnum, Magnum Talkin' loud, Magnum"
@nu.nl_video_7148832832696175878.mp4,@nu.nl_video_7148832832696175878.mp3,31.959999999999997," De politie krijgt heel veel signalen dat kinderen uit groep 7 en 8 en de eerste klas van de medoware school snus aangeboden krijgen van criminelen. Snus is de bak in de vorm van een tabletje of een tezakje. We zien dat snus ervslavond is, want na het gebruik van drie sapjes kan je afslavdragen. En dat is precies wat die criminelen willen, je verslaaf maken. Zodat je in heel voor, ze dus illegale klusjes voor een uitvoert. De politie zie daardoor dat kinderen langzaammahand de criminaliteit wordt ingetrokken. Krijg je in verslaaf van de medoware aangeboden, wijgehet en doen melding bij je ouders, leekacht of politie."
@adde.aa_video_7162162320955706629.mp4,@adde.aa_video_7162162320955706629.mp3,1.3800000000000001, Let's go!
@antoniobankjes_video_7256469718310210843.mp4,@antoniobankjes_video_7256469718310210843.mp3,48.0," Ik heb de voorzien in de celatie van de Achman. Pasblie toe even deilinisme zetrouwen man. Laten we aftrappen man. Mijn trouwlofen met centrale verdediging. Hebben we een reist, ja. Gedeckdorom, Boularrouwch en Antrouw. Maar een andere kantrouw, maar het is heel leuk zo. Mijn dres bek, mij heren we een koei heiskla. Oké, laten we gaan. Links bek! Tof van die van bron kost hij een goeie. Hij punt hem van als iemand. Hij gaat lofen, maar het is heel rack op een midden van. Mijn trouwlofen, hoe maak je weet, die combinatie met die speta. Mijn diteen van van van Achman is Alexander Patto, het is best de tijd. Er gaan lofen, Adébayeou is van de Achman van het Partijtje. Aerobien jouw suttsappere ook. En die speta van van van Darm, dat is Ola-Touw, vol nummer. Het is van de weekend, het slaat er maar. Ho-ho-ho! Ho-ho-ho! Ho-ho-ho!"
@patmcafeeshowofficial_video_7166419607429844270.mp4,@patmcafeeshowofficial_video_7166419607429844270.mp3,16.0," What do you have for us today? Anything cool? What are you doing? I'm gonna put a couple zens in and go home. Oh hell yeah! Yeah! Ladies and gentlemen, tell her how to do it. Yeah! Oh man, I fucking love this job. That's my farm."
@rentredanslegame_video_7185146441533279493.mp4,@rentredanslegame_video_7185146441533279493.mp3,78.3," now ры бат ya ... your m'erf la queue Le plus, Dom financiers won't acceptre"
@antoniobankjes_video_7253108838667128091.mp4,@antoniobankjes_video_7253108838667128091.mp3,56.6," Ah! En eis kou het reen je natuurlijk op rechts zo. Wat ga lopen, maar links balte. Likamartens, toi dat paper ga lopen, maar... Ha! Die rechts balte. Ik heb jouw vandaar eet lopen, maar... Ha! Wat kou ik us ook niet zo. Wat ga lopen, maar... Maak dat dat zil van optie, maar... Ik heb jou eet lopen, maar... Wat ga lopen, maar... Die spiett appa, maar, maar... Hebimok, wat de mo... Ha! Mabani! Oh boer! NeuFi! Oh je eeg nau. No... Je unique e下o! NeuFi! Hebouw net, affier, hefhe, ja, efhe vier, van van van van van van van van van van van van van van van. Je vam deixar vaak naar zien. Have wist je erachtig accompanied bij die jabber те alsㅠㅠ"
@polinakplv_video_7253854827535486235.mp4,@polinakplv_video_7253854827535486235.mp3,25.82, c'mon shit l could you tell where my head was that when you found me me and you went to hand in fact just find peace out ofowser
@bordsanka_video_7166989704024362246.mp4,@bordsanka_video_7166989704024362246.mp3,125.96000000000001," Hej, det är det här för en snusio och idag testar vi våldt dagfost. Jag aldrig testat en annan så det blir en första impression. Om jag lukte precis som nivet som har flåret här blätter, som man tog de av eniten med svart rimer smak. De luter exakt så pass lite... Lite samtidigt också. Eller ja, vänder. Vi testar en sådan helvah. Jag har lite grupport, hur var kring vad sån här videos och hur man siktig är fortölljare uppe i månaden. Men jag har haft lite fullt upp i rivet. Jag har sökt jobb i Frankrike, Feevill och Sjödor hela vitten. Så därför har jag inte riktigt haft sikt i smyckan. Om det var nån så blivit att säga. Men nu typ av den här smakar. Det står inte var den smak som. Jag sverad att det är svart rimer. Och den smaka som de flottavlättar. Man tog de av en vanlig den. Berätta om ni kommer ihåg de. Jag hade heppen bortomt att han ser lukte på den här. Och den här lukte precis som jag lukte när den brukar med svart rimer. Den smaka tustor de. Varsål lite... Lite kalt. Det är inte alldeles. Ja. Ja, det här fick vi att komma ihåg flottavlättar. Som jag hade gått att de panns av den. Det finns som en slinget. Kan man köpa upp av tillg. Nej, det var nån. Men... Även fanas smaka så nån. Lite mindigt. Lite kall. Och svart är fem prepart. Det är 12 och det är halvt. Det är en grann tid på den. Men det var trevligt. 7 av 10. Håran. Jag ruggade och flyttade här lite på fanan. Så det är en annan... Men... När jag sökte jag i frankejärn så jag kommer... Att ha en plittat frankej kan man gånger bli sämre. Så det var jag ganska kompliv med. Så det är just... Men... Det är det svärde mitt liv. Hirok, ha en fin dag snart. Så jag blir källig och så. Gull, hiro!"
@antoniobankjes_video_7265362837411745056.mp4,@antoniobankjes_video_7265362837411745056.mp3,42.0," Pak er naar. Ik heb net vergeet, heb ik een zusraafsel. Nee, maar je last niet, man. Ik ga het zijn kijk, man. Je zit er kei aan, P. Ik ben hier. Huh? Ik heb er niet. Ha! Ik heb een zusraafsel. Nee, P. Ik ben echt om mijn laatste, nee, P. Nee, P. Ik zoek echt naar Ruz, maar ik moet echt naar Ruz. Sorry. Laten, man. De dag of Lieftje nog op bij. Ik heb geen tijd hierom te luchten kijken. Ik zet dat ze nog zijn onderresten krijgen. Laat het aan mij daar was ze nog bij, maar. Ik kan niet doen onzof voor je niestpijn. Dat is als mij goed die tijd, dus ik moet er komen door. Nee, kan jij eens alive en nu zijn ongelooflijk. Ik zal zullen reenven, ik weet ik moet er beter komen. En als er komen, zou ik gaan, dan moest ik door."
@tuvellizz_video_7196354439828049157.mp4,@tuvellizz_video_7196354439828049157.mp3,5.0, Q is for quiet. I love quiet. I wish it were quiet all the time.
@jannemattsson01_video_7203728269311479046.mp4,@jannemattsson01_video_7203728269311479046.mp3,26.2," God för mig där på er. Som ni vet är jag en stor snusare och snusare sika en snusstosa om vecka. Men det på den senaste tiden hör jag börja köra mycket vitt också. Och idag ska vi ta testat den här jävlen. Velo cool storm. Fuck, det kan inte bli det slänga ändå. Veten var denna får 4 av 5 starka kingsjång."
@baccercanman_video_7251127729364438318.mp4,@baccercanman_video_7251127729364438318.mp3,2.0, So light!
@nothunterpitre_video_7248066480678489386.mp4,@nothunterpitre_video_7248066480678489386.mp3,57.84," Let's see if anybody here has a question. Does anybody here have a question? Yeah, I got a question for you When are you gonna get back to doing the fucking good shit? Hey, hold on you're here. Yeah, you got a ticket So you're a fan. What are you talking about the good? I was a fan Go back to the old shift Holder than that This seems like a cash grab that's not nice"
@copacabanathacreator_video_7238283717259644206.mp4,@copacabanathacreator_video_7238283717259644206.mp3,27.32," Hey, let's fucking go buddy at the zin stand at the zin zanadi food festival buddy Look at this zin zin a chino machine over here offer decky luck pili's for the boys Look at this zin machine over here passing out zin's for the boys A blow out the back of a boy is at zin zanadi food festival buddy And the nicotine vouchers for the zin boys zin zanadi food festival Let's fucking go buddy"
@redbull__bagelbite_video_7166180181802044715.mp4,@redbull__bagelbite_video_7166180181802044715.mp3,7.5, And every day's a dream when I'm carrying your love with me I'm carrying your love with me
@joeyneus_video_7145505941138459946.mp4,@joeyneus_video_7145505941138459946.mp3,12.700000000000001," Jimmy Neutron Hey, me Neutron Upper Decky gum, Pellies Upper Decky lip cushions Urda Urda"
@juhovienonen_video_7146176748978277638.mp4,@juhovienonen_video_7146176748978277638.mp3,16.0," Sojonneilteereväti, näin pääsee paskasteroa. Se on moro."
@purmolina_video_7211974677365902598.mp4,@purmolina_video_7211974677365902598.mp3,75.0," visar natten på igen. Nu ska du visn ut från arbetet också. Nu vill jag välja vad du tycker om det här. Det här är lite mer provoserande. Vi har lagat klistemärke. Som man kan lägga på snusdor såna. Och så har jag en partionsvenskoamdång. 42 gram liberalism och 0 gramskattet i Sverige. Och så har jag legaliserats snus i Finland. Så det här har jag så hejt om snusdorna. Så är det någonting vid den. Vad tycker du om det här? Är det bubbelä? För bland ongall så går det här hej. Det är inte så att jag är ju hej. Störgare hem i 10. I min ålder ska jag ju käsko en vanas snus. Nu kan ni inte ta med ändå så. Det är matta mötig. Nu vill jag nog en liten show. Nu kan jag bete på det här. Ja, jag bete på det här."
@tv2norge_video_7191816259888090373.mp4,@tv2norge_video_7191816259888090373.mp3,68.34," Nel opp på å tellere ene seg tenkte på hva hva hvordan skal det gå uten snus? Når vi bor på det å tellere så kom vi opp med matels. Det oppe det var at han måtte papere og tynte matapere. Det er rett før vi skulle skjækken på gåren, så tokker vi åtte snus i en edmat papere. Paken er sammen. Fyrtidig med om rompul og bare. Og så står det at jeg snakker telefon med pappen. Hva er det bare? Hjalvet er det svir. Det svir det så jeg er ble. Jeg tenkte noen å la på noen. Da sikkert i baken for noen å åtte snus. Nå er det mer om det. Jeg tror du liksom ikke kommer. Du verker det i noen. Nå er det jeg tenkte at jeg går helt fint. Jeg må få i med noen snus. Jeg kan ikke ta en ny ykken. Det kjækker hele kroppen i forojen. Det er så fikk jeg helt pikkene. At det svir det, toker det ned i understål i skolen. Og han fyrt han så skudt av oss med. Videre han har kjæket i skolen. Han har kjæket i skolen i understål. Men jeg måtte å stå i skogen i to timeraventer på at... Det blir det svett å. Det blir helt klissvårt. Sånn er det at pøs er inte. Sånn jeg kommer på gåren, og kan man å dratt. Sånn ting. Så toker jeg ut. Og valg bare sånn svart klomp. Men snus det. Ja."
@plotnui_video_7143278489179933958.mp4,@plotnui_video_7143278489179933958.mp3,29.0," Чоловіч, а можна задати тебе одне запитання? Тихто. Ти людина чи ти звер? Ти напевно хуже звера, ну реально. Потому що я якщо після ті кедаю, мене вирсність, то я хубий сразу уходить, просто сразу. Закінно 250 код, це походу губу мене, в одразу, в кедаті. Місім передумною стане вибір между 250-ти трифлотних ауганки сразу. Я треба кілочи дамію, все і успокоюся на цьому. Це жесь. 250-ти це перебор, реально."
@polletestar_video_7152210175976361221.mp4,@polletestar_video_7152210175976361221.mp3,33.5, Jag kan inte bara gå till nytt av som på läxtest och nu är vi igång. Det blir ett sponsare där ännu en gång av en anunim. Så det blir äldesal med jag kär. Se fram emot den. En riktigt förlackresyn. Det är en riktigt minst sak. Den här har vi den. Den är ju... Den ser ut på den så gifte ut rent ut sagt men skålar hemma. Oh. Mmm. Jag ser oss här. Ila du lackris. Ila du jord på marken. Det är den här snusar perfekt för dig. Det sätter vara som oss snusar lackå. Det är den här två timpåla. Har gått och ser snesgrom och hej.
@holdenbrown_14_video_7144814761035762987.mp4,@holdenbrown_14_video_7144814761035762987.mp3,0.0,
@yeahdudeyeah.v2_video_7196465973187136814.mp4,@yeahdudeyeah.v2_video_7196465973187136814.mp3,2.0, Finally use some of my Zen reward.
@rlexisaae_video_7160466610065607978.mp4,@rlexisaae_video_7160466610065607978.mp3,6.3, Subscribe!!
@josefinestoffel_video_7243458769005317403.mp4,@josefinestoffel_video_7243458769005317403.mp3,16.0," Det var litt sånn da han sa at han egentlig aldri er lystig til meg. Hva er det? Jeg har med en vansal på den. Stus ligger der. Åja! Åja! Det var en mål i det, ikke?"
@antoniobankjes_video_7257972357770284314.mp4,@antoniobankjes_video_7257972357770284314.mp3,70.6," nou감 even そ'sös radish hoog mode nu gaan we filling Hahah ok playful metzooms we lopen wachtband Jullie hebben geen doel, ik heb geen tijd. Dan zit het ook goed, kom maar dan. Het is goed. Ik kom. Kijk hier zo. Het lijkt nog een beetje. Wat dan niet? Dat is niet open. Nee, maar bij je erg u is zo. Ik heb een stukje gekomen. We zijn met een hoep vooralend en... Een stukje en een doel naar hoep vooralend. Ik ben een goede geven van de beste man. En wat je koud aan de tijd? Hey, laten we gaan!"
@zyngod69_video_7146319672693083434.mp4,@zyngod69_video_7146319672693083434.mp3,5.5600000000000005, hey smile smile
@baccercanman_video_7261133575754485038.mp4,@baccercanman_video_7261133575754485038.mp3,23.400000000000002, Let's get started.
@bigboyknut_video_7193761023063510277.mp4,@bigboyknut_video_7193761023063510277.mp3,21.48," Jeg måtte jo selvfølgelig kjøpe litt snus når det først fra i Sverige. Først leper jeg å kjøre kjørst, og smelte jeg å tømme en våldpørls technology. Så du først tjekker ganske inn i nappusen, så ser du kjøt så noe så skal oppi lepp og ser du så noe så så trykk jeg til inn i nassen. Older kjøpte grene er det verste jeg snusar. Jeg å kjøre kjørst, jeg vil have pengene min tilbake med en gång hvis det ikke synes jeg ikke er jo allad."
@thatguysamm616_video_7236234293238877466.mp4,@thatguysamm616_video_7236234293238877466.mp3,19.56, nr no I don't want to wear Ghazın today
@m0rch1_video_7144653419381411078.mp4,@m0rch1_video_7144653419381411078.mp3,11.120000000000001, Eest nu føregutlje. Misio- Av curator
@dagens_macka_video_7198866333230976262.mp4,@dagens_macka_video_7198866333230976262.mp3,11.0, Man får få pratar en liv filast--pikettra i alldeles. Det är bara jag som är så jävla grover.
@canerrashidifard_video_7205973978194742533.mp4,@canerrashidifard_video_7205973978194742533.mp3,6.5," Me? Obsessed with you? Yes, yes I am bitch."
@didithereal_video_7202254648210738437.mp4,@didithereal_video_7202254648210738437.mp3,0.0,
